p2p_transfer_id,leg_role,customer_id,wallet_id,amount,direction
ANTX-000000287,P2P_RECEIVE,AN-C001707,100001707,148.1,CREDIT
ANTX-000000292,P2P_SEND,AN-C000003,100000003,1477.69,DEBIT
ANTX-000000292,P2P_RECEIVE,AN-C000733,100000733,1477.69,CREDIT
ANTX-000000295,P2P_SEND,AN-C000003,100000003,633.14,DEBIT
ANTX-000000295,P2P_RECEIVE,AN-C000045,100000045,633.14,CREDIT
ANTX-000000299,P2P_SEND,AN-C000003,100000003,1707.03,DEBIT
ANTX-000000299,P2P_RECEIVE,AN-C001462,100001462,1707.03,CREDIT
ANTX-000000303,P2P_SEND,AN-C000003,100000003,17.48,DEBIT
ANTX-000000303,P2P_RECEIVE,AN-C001175,100001175,17.48,CREDIT
ANTX-000000311,P2P_SEND,AN-C000003,100000003,66.75,DEBIT
ANTX-000000311,P2P_RECEIVE,AN-C002290,100002290,66.75,CREDIT
ANTX-000000316,P2P_SEND,AN-C000003,100000003,396.06,DEBIT
ANTX-000000316,P2P_RECEIVE,AN-C001297,100001297,396.06,CREDIT
ANTX-000000317,P2P_SEND,AN-C000003,100000003,875.51,DEBIT
ANTX-000000317,P2P_RECEIVE,AN-C002748,100002748,875.51,CREDIT
ANTX-000000321,P2P_SEND,AN-C000003,100000003,314.9,DEBIT
ANTX-000000321,P2P_RECEIVE,AN-C000240,100000240,314.9,CREDIT
ANTX-000000329,P2P_SEND,AN-C000003,100000003,154.72,DEBIT
ANTX-000000329,P2P_RECEIVE,AN-C002462,100002462,154.72,CREDIT
ANTX-000000330,P2P_SEND,AN-C000003,100000003,748.02,DEBIT
ANTX-000000330,P2P_RECEIVE,AN-C000686,100000686,748.02,CREDIT
ANTX-000000338,P2P_SEND,AN-C000003,100000003,157.07,DEBIT
ANTX-000000338,P2P_RECEIVE,AN-C002354,100002354,157.07,CREDIT
ANTX-000000356,P2P_SEND,AN-C000003,100000003,2336.44,DEBIT
ANTX-000000356,P2P_RECEIVE,AN-C001198,100001198,2336.44,CREDIT
ANTX-000000359,P2P_SEND,AN-C000003,100000003,575.38,DEBIT
ANTX-000000359,P2P_RECEIVE,AN-C001247,100001247,575.38,CREDIT
ANTX-000000362,P2P_SEND,AN-C000003,100000003,1441.36,DEBIT
ANTX-000000362,P2P_RECEIVE,AN-C001631,100001631,1441.36,CREDIT
ANTX-000000363,P2P_SEND,AN-C000003,100000003,14.07,DEBIT
ANTX-000000363,P2P_RECEIVE,AN-C000998,100000998,14.07,CREDIT
ANTX-000000365,P2P_SEND,AN-C000003,100000003,78.36,DEBIT
ANTX-000000365,P2P_RECEIVE,AN-C002509,100002509,78.36,CREDIT
ANTX-000000376,P2P_SEND,AN-C000003,100000003,943.45,DEBIT
ANTX-000000376,P2P_RECEIVE,AN-C000547,100000547,943.45,CREDIT
ANTX-000000379,P2P_SEND,AN-C000003,100000003,632.67,DEBIT
ANTX-000000379,P2P_RECEIVE,AN-C002312,100002312,632.67,CREDIT
ANTX-000000385,P2P_SEND,AN-C000003,100000003,389.92,DEBIT
ANTX-000000385,P2P_RECEIVE,AN-C000117,100000117,389.92,CREDIT
ANTX-000000386,P2P_SEND,AN-C000003,100000003,2459.68,DEBIT
ANTX-000000386,P2P_RECEIVE,AN-C002669,100002669,2459.68,CREDIT
ANTX-000000391,P2P_SEND,AN-C000003,100000003,146.27,DEBIT
ANTX-000000391,P2P_RECEIVE,AN-C001890,100001890,146.27,CREDIT
ANTX-000000415,P2P_SEND,AN-C000003,100000003,63.0,DEBIT
ANTX-000000415,P2P_RECEIVE,AN-C002686,100002686,63.0,CREDIT
ANTX-000000425,P2P_SEND,AN-C000003,100000003,110.93,DEBIT
ANTX-000000425,P2P_RECEIVE,AN-C000895,100000895,110.93,CREDIT
ANTX-000000429,P2P_SEND,AN-C000003,100000003,708.56,DEBIT
ANTX-000000429,P2P_RECEIVE,AN-C002433,100002433,708.56,CREDIT
ANTX-000000434,P2P_SEND,AN-C000003,100000003,1911.44,DEBIT
ANTX-000000434,P2P_RECEIVE,AN-C001253,100001253,1911.44,CREDIT
ANTX-000000436,P2P_SEND,AN-C000003,100000003,2405.98,DEBIT
ANTX-000000436,P2P_RECEIVE,AN-C000477,100000477,2405.98,CREDIT
ANTX-000000441,P2P_SEND,AN-C000003,100000003,1067.31,DEBIT
ANTX-000000441,P2P_RECEIVE,AN-C000380,100000380,1067.31,CREDIT
ANTX-000000450,P2P_SEND,AN-C000003,100000003,2471.26,DEBIT
ANTX-000000450,P2P_RECEIVE,AN-C001201,100001201,2471.26,CREDIT
ANTX-000000455,P2P_SEND,AN-C000003,100000003,1216.18,DEBIT
ANTX-000000455,P2P_RECEIVE,AN-C001396,100001396,1216.18,CREDIT
ANTX-000000462,P2P_SEND,AN-C000003,100000003,118.52,DEBIT
ANTX-000000462,P2P_RECEIVE,AN-C002423,100002423,118.52,CREDIT
ANTX-000000463,P2P_SEND,AN-C000003,100000003,2211.83,DEBIT
ANTX-000000463,P2P_RECEIVE,AN-C002138,100002138,2211.83,CREDIT
ANTX-000000467,P2P_SEND,AN-C000003,100000003,1520.96,DEBIT
ANTX-000000467,P2P_RECEIVE,AN-C000171,100000171,1520.96,CREDIT
ANTX-000000472,P2P_SEND,AN-C000003,100000003,420.93,DEBIT
ANTX-000000472,P2P_RECEIVE,AN-C000388,100000388,420.93,CREDIT
ANTX-000000473,P2P_SEND,AN-C000003,100000003,68.9,DEBIT
ANTX-000000473,P2P_RECEIVE,AN-C000629,100000629,68.9,CREDIT
ANTX-000000475,P2P_SEND,AN-C000003,100000003,2276.24,DEBIT
ANTX-000000475,P2P_RECEIVE,AN-C001459,100001459,2276.24,CREDIT
ANTX-000000476,P2P_SEND,AN-C000003,100000003,739.13,DEBIT
ANTX-000000476,P2P_RECEIVE,AN-C001662,100001662,739.13,CREDIT
ANTX-000000481,P2P_SEND,AN-C000003,100000003,136.19,DEBIT
ANTX-000000481,P2P_RECEIVE,AN-C000341,100000341,136.19,CREDIT
ANTX-000000490,P2P_SEND,AN-C000003,100000003,1520.88,DEBIT
ANTX-000000490,P2P_RECEIVE,AN-C002589,100002589,1520.88,CREDIT
ANTX-000000495,P2P_SEND,AN-C000003,100000003,1440.96,DEBIT
ANTX-000000495,P2P_RECEIVE,AN-C002978,100002978,1440.96,CREDIT
ANTX-000000496,P2P_SEND,AN-C000003,100000003,2185.22,DEBIT
ANTX-000000496,P2P_RECEIVE,AN-C002425,100002425,2185.22,CREDIT
ANTX-000000498,P2P_SEND,AN-C000003,100000003,1073.29,DEBIT
ANTX-000000498,P2P_RECEIVE,AN-C002812,100002812,1073.29,CREDIT
ANTX-000000499,P2P_SEND,AN-C000003,100000003,1672.98,DEBIT
ANTX-000000499,P2P_RECEIVE,AN-C002384,100002384,1672.98,CREDIT
ANTX-000000503,P2P_SEND,AN-C000003,100000003,64.12,DEBIT
ANTX-000000503,P2P_RECEIVE,AN-C002951,100002951,64.12,CREDIT
ANTX-000000509,P2P_SEND,AN-C000003,100000003,819.13,DEBIT
ANTX-000000509,P2P_RECEIVE,AN-C001286,100001286,819.13,CREDIT
ANTX-000000510,P2P_SEND,AN-C000003,100000003,2263.83,DEBIT
ANTX-000000510,P2P_RECEIVE,AN-C002302,100002302,2263.83,CREDIT
ANTX-000000514,P2P_SEND,AN-C000003,100000003,1655.81,DEBIT
ANTX-000000514,P2P_RECEIVE,AN-C001562,100001562,1655.81,CREDIT
ANTX-000000515,P2P_SEND,AN-C000003,100000003,142.62,DEBIT
ANTX-000000515,P2P_RECEIVE,AN-C001159,100001159,142.62,CREDIT
ANTX-000000519,P2P_SEND,AN-C000003,100000003,1163.16,DEBIT
ANTX-000000519,P2P_RECEIVE,AN-C002347,100002347,1163.16,CREDIT
ANTX-000000528,P2P_SEND,AN-C000003,100000003,1031.61,DEBIT
ANTX-000000528,P2P_RECEIVE,AN-C000782,100000782,1031.61,CREDIT
ANTX-000000530,P2P_SEND,AN-C000003,100000003,2287.74,DEBIT
ANTX-000000530,P2P_RECEIVE,AN-C000543,100000543,2287.74,CREDIT
ANTX-000000532,P2P_SEND,AN-C000003,100000003,1826.47,DEBIT
ANTX-000000532,P2P_RECEIVE,AN-C001388,100001388,1826.47,CREDIT
ANTX-000000538,P2P_SEND,AN-C000003,100000003,1494.09,DEBIT
ANTX-000000538,P2P_RECEIVE,AN-C002097,100002097,1494.09,CREDIT
ANTX-000000546,P2P_SEND,AN-C000003,100000003,1175.74,DEBIT
ANTX-000000546,P2P_RECEIVE,AN-C001742,100001742,1175.74,CREDIT
ANTX-000000553,P2P_SEND,AN-C000003,100000003,197.06,DEBIT
ANTX-000000553,P2P_RECEIVE,AN-C000665,100000665,197.06,CREDIT
ANTX-000000557,P2P_SEND,AN-C000003,100000003,367.69,DEBIT
ANTX-000000557,P2P_RECEIVE,AN-C001624,100001624,367.69,CREDIT
ANTX-000000560,P2P_SEND,AN-C000003,100000003,2020.75,DEBIT
ANTX-000000560,P2P_RECEIVE,AN-C001382,100001382,2020.75,CREDIT
ANTX-000000565,P2P_SEND,AN-C000003,100000003,484.84,DEBIT
ANTX-000000565,P2P_RECEIVE,AN-C002646,100002646,484.84,CREDIT
ANTX-000000568,P2P_SEND,AN-C000003,100000003,358.25,DEBIT
ANTX-000000568,P2P_RECEIVE,AN-C002016,100002016,358.25,CREDIT
ANTX-000000569,P2P_SEND,AN-C000003,100000003,127.26,DEBIT
ANTX-000000569,P2P_RECEIVE,AN-C001696,100001696,127.26,CREDIT
ANTX-000000570,P2P_SEND,AN-C000003,100000003,15.5,DEBIT
ANTX-000000570,P2P_RECEIVE,AN-C002350,100002350,15.5,CREDIT
ANTX-000000580,P2P_SEND,AN-C000003,100000003,12.89,DEBIT
ANTX-000000580,P2P_RECEIVE,AN-C002016,100002016,12.89,CREDIT
ANTX-000000584,P2P_SEND,AN-C000003,100000003,84.62,DEBIT
ANTX-000000584,P2P_RECEIVE,AN-C002854,100002854,84.62,CREDIT
ANTX-000000588,P2P_SEND,AN-C000003,100000003,466.56,DEBIT
ANTX-000000588,P2P_RECEIVE,AN-C000859,100000859,466.56,CREDIT
ANTX-000000594,P2P_SEND,AN-C000003,100000003,412.08,DEBIT
ANTX-000000594,P2P_RECEIVE,AN-C002500,100002500,412.08,CREDIT
ANTX-000000595,P2P_SEND,AN-C000003,100000003,345.43,DEBIT
ANTX-000000595,P2P_RECEIVE,AN-C002196,100002196,345.43,CREDIT
ANTX-000000598,P2P_SEND,AN-C000003,100000003,1842.22,DEBIT
ANTX-000000598,P2P_RECEIVE,AN-C002388,100002388,1842.22,CREDIT
ANTX-000000603,P2P_SEND,AN-C000003,100000003,2481.28,DEBIT
ANTX-000000603,P2P_RECEIVE,AN-C001832,100001832,2481.28,CREDIT
ANTX-000000608,P2P_SEND,AN-C000003,100000003,22.05,DEBIT
ANTX-000000608,P2P_RECEIVE,AN-C000151,100000151,22.05,CREDIT
ANTX-000000609,P2P_SEND,AN-C000003,100000003,2018.57,DEBIT
ANTX-000000609,P2P_RECEIVE,AN-C000919,100000919,2018.57,CREDIT
ANTX-000000613,P2P_SEND,AN-C000003,100000003,2322.3,DEBIT
ANTX-000000613,P2P_RECEIVE,AN-C000121,100000121,2322.3,CREDIT
ANTX-000000614,P2P_SEND,AN-C000003,100000003,2144.29,DEBIT
ANTX-000000614,P2P_RECEIVE,AN-C002197,100002197,2144.29,CREDIT
ANTX-000000618,P2P_SEND,AN-C000003,100000003,17.34,DEBIT
ANTX-000000618,P2P_RECEIVE,AN-C001064,100001064,17.34,CREDIT
ANTX-000000622,P2P_SEND,AN-C000003,100000003,72.66,DEBIT
ANTX-000000622,P2P_RECEIVE,AN-C001262,100001262,72.66,CREDIT
ANTX-000000625,P2P_SEND,AN-C000003,100000003,25.06,DEBIT
ANTX-000000625,P2P_RECEIVE,AN-C001992,100001992,25.06,CREDIT
ANTX-000000628,P2P_SEND,AN-C000003,100000003,1252.52,DEBIT
ANTX-000000628,P2P_RECEIVE,AN-C000734,100000734,1252.52,CREDIT
ANTX-000000631,P2P_SEND,AN-C000003,100000003,2152.28,DEBIT
ANTX-000000631,P2P_RECEIVE,AN-C001728,100001728,2152.28,CREDIT
ANTX-000000632,P2P_SEND,AN-C000003,100000003,2374.26,DEBIT
ANTX-000000632,P2P_RECEIVE,AN-C000404,100000404,2374.26,CREDIT
ANTX-000000635,P2P_SEND,AN-C000003,100000003,512.21,DEBIT
ANTX-000000635,P2P_RECEIVE,AN-C000063,100000063,512.21,CREDIT
ANTX-000000637,P2P_SEND,AN-C000003,100000003,2280.08,DEBIT
ANTX-000000637,P2P_RECEIVE,AN-C002784,100002784,2280.08,CREDIT
ANTX-000000639,P2P_SEND,AN-C000003,100000003,942.84,DEBIT
ANTX-000000639,P2P_RECEIVE,AN-C002920,100002920,942.84,CREDIT
ANTX-000000641,P2P_SEND,AN-C000004,100000004,406.93,DEBIT
ANTX-000000641,P2P_RECEIVE,AN-C002108,100002108,406.93,CREDIT
ANTX-000000643,P2P_SEND,AN-C000004,100000004,1967.19,DEBIT
ANTX-000000643,P2P_RECEIVE,AN-C001288,100001288,1967.19,CREDIT
ANTX-000000646,P2P_SEND,AN-C000004,100000004,345.58,DEBIT
ANTX-000000646,P2P_RECEIVE,AN-C001210,100001210,345.58,CREDIT
ANTX-000000650,P2P_SEND,AN-C000004,100000004,540.24,DEBIT
ANTX-000000650,P2P_RECEIVE,AN-C000764,100000764,540.24,CREDIT
ANTX-000000652,P2P_SEND,AN-C000004,100000004,1061.0,DEBIT
ANTX-000000652,P2P_RECEIVE,AN-C000414,100000414,1061.0,CREDIT
ANTX-000000663,P2P_SEND,AN-C000004,100000004,89.62,DEBIT
ANTX-000000663,P2P_RECEIVE,AN-C001731,100001731,89.62,CREDIT
ANTX-000000666,P2P_SEND,AN-C000004,100000004,616.53,DEBIT
ANTX-000000666,P2P_RECEIVE,AN-C002401,100002401,616.53,CREDIT
ANTX-000000668,P2P_SEND,AN-C000004,100000004,22.61,DEBIT
ANTX-000000668,P2P_RECEIVE,AN-C000800,100000800,22.61,CREDIT
ANTX-000000672,P2P_SEND,AN-C000004,100000004,123.81,DEBIT
ANTX-000000672,P2P_RECEIVE,AN-C002165,100002165,123.81,CREDIT
ANTX-000000675,P2P_SEND,AN-C000004,100000004,334.93,DEBIT
ANTX-000000675,P2P_RECEIVE,AN-C002774,100002774,334.93,CREDIT
ANTX-000000680,P2P_SEND,AN-C000004,100000004,1075.26,DEBIT
ANTX-000000680,P2P_RECEIVE,AN-C001355,100001355,1075.26,CREDIT
ANTX-000000692,P2P_SEND,AN-C000004,100000004,449.23,DEBIT
ANTX-000000692,P2P_RECEIVE,AN-C001163,100001163,449.23,CREDIT
ANTX-000000695,P2P_SEND,AN-C000004,100000004,1095.44,DEBIT
ANTX-000000695,P2P_RECEIVE,AN-C001753,100001753,1095.44,CREDIT
ANTX-000000699,P2P_SEND,AN-C000004,100000004,1873.26,DEBIT
ANTX-000000699,P2P_RECEIVE,AN-C002897,100002897,1873.26,CREDIT
ANTX-000000700,P2P_SEND,AN-C000004,100000004,99.17,DEBIT
ANTX-000000700,P2P_RECEIVE,AN-C000695,100000695,99.17,CREDIT
ANTX-000000705,P2P_SEND,AN-C000004,100000004,472.48,DEBIT
ANTX-000000705,P2P_RECEIVE,AN-C001700,100001700,472.48,CREDIT
ANTX-000000712,P2P_SEND,AN-C000004,100000004,1316.98,DEBIT
ANTX-000000712,P2P_RECEIVE,AN-C000722,100000722,1316.98,CREDIT
ANTX-000000714,P2P_SEND,AN-C000004,100000004,71.35,DEBIT
ANTX-000000714,P2P_RECEIVE,AN-C002635,100002635,71.35,CREDIT
ANTX-000000715,P2P_SEND,AN-C000004,100000004,1812.95,DEBIT
ANTX-000000715,P2P_RECEIVE,AN-C002603,100002603,1812.95,CREDIT
ANTX-000000730,P2P_SEND,AN-C000004,100000004,676.64,DEBIT
ANTX-000000730,P2P_RECEIVE,AN-C000386,100000386,676.64,CREDIT
ANTX-000000732,P2P_SEND,AN-C000004,100000004,115.34,DEBIT
ANTX-000000732,P2P_RECEIVE,AN-C002677,100002677,115.34,CREDIT
ANTX-000000733,P2P_SEND,AN-C000004,100000004,1906.08,DEBIT
ANTX-000000733,P2P_RECEIVE,AN-C000150,100000150,1906.08,CREDIT
ANTX-000000735,P2P_SEND,AN-C000004,100000004,505.9,DEBIT
ANTX-000000735,P2P_RECEIVE,AN-C002580,100002580,505.9,CREDIT
ANTX-000000738,P2P_SEND,AN-C000004,100000004,350.73,DEBIT
ANTX-000000738,P2P_RECEIVE,AN-C002102,100002102,350.73,CREDIT
ANTX-000000740,P2P_SEND,AN-C000004,100000004,849.16,DEBIT
ANTX-000000740,P2P_RECEIVE,AN-C000155,100000155,849.16,CREDIT
ANTX-000000743,P2P_SEND,AN-C000004,100000004,454.7,DEBIT
ANTX-000000743,P2P_RECEIVE,AN-C002825,100002825,454.7,CREDIT
ANTX-000000746,P2P_SEND,AN-C000004,100000004,758.74,DEBIT
ANTX-000000746,P2P_RECEIVE,AN-C002911,100002911,758.74,CREDIT
ANTX-000000755,P2P_SEND,AN-C000004,100000004,1472.61,DEBIT
ANTX-000000755,P2P_RECEIVE,AN-C000706,100000706,1472.61,CREDIT
ANTX-000000758,P2P_SEND,AN-C000004,100000004,2139.88,DEBIT
ANTX-000000758,P2P_RECEIVE,AN-C002738,100002738,2139.88,CREDIT
ANTX-000000759,P2P_SEND,AN-C000004,100000004,68.16,DEBIT
ANTX-000000759,P2P_RECEIVE,AN-C000583,100000583,68.16,CREDIT
ANTX-000000762,P2P_SEND,AN-C000004,100000004,1445.7,DEBIT
ANTX-000000762,P2P_RECEIVE,AN-C000984,100000984,1445.7,CREDIT
ANTX-000000767,P2P_SEND,AN-C000004,100000004,764.06,DEBIT
ANTX-000000767,P2P_RECEIVE,AN-C002777,100002777,764.06,CREDIT
ANTX-000000778,P2P_SEND,AN-C000004,100000004,145.83,DEBIT
ANTX-000000778,P2P_RECEIVE,AN-C002447,100002447,145.83,CREDIT
ANTX-000000785,P2P_SEND,AN-C000004,100000004,354.55,DEBIT
ANTX-000000785,P2P_RECEIVE,AN-C000682,100000682,354.55,CREDIT
ANTX-000000786,P2P_SEND,AN-C000004,100000004,101.77,DEBIT
ANTX-000000786,P2P_RECEIVE,AN-C001249,100001249,101.77,CREDIT
ANTX-000000793,P2P_SEND,AN-C000004,100000004,381.71,DEBIT
ANTX-000000793,P2P_RECEIVE,AN-C001914,100001914,381.71,CREDIT
ANTX-000000798,P2P_SEND,AN-C000004,100000004,144.59,DEBIT
ANTX-000000798,P2P_RECEIVE,AN-C000995,100000995,144.59,CREDIT
ANTX-000000806,P2P_SEND,AN-C000004,100000004,1643.34,DEBIT
ANTX-000000806,P2P_RECEIVE,AN-C000206,100000206,1643.34,CREDIT
ANTX-000000809,P2P_SEND,AN-C000004,100000004,1108.7,DEBIT
ANTX-000000809,P2P_RECEIVE,AN-C001939,100001939,1108.7,CREDIT
ANTX-000000812,P2P_SEND,AN-C000004,100000004,86.22,DEBIT
ANTX-000000812,P2P_RECEIVE,AN-C002959,100002959,86.22,CREDIT
ANTX-000000813,P2P_SEND,AN-C000004,100000004,1882.0,DEBIT
ANTX-000000813,P2P_RECEIVE,AN-C002526,100002526,1882.0,CREDIT
ANTX-000000815,P2P_SEND,AN-C000004,100000004,1420.23,DEBIT
