synthetic_person_id,source_entity,source_customer_id,tier,activity_factor,pay_sensitivity,seasonal_sensitivity,night_preference,geo_stability,lifecycle_state,scenario_id,severity,difficulty,burst_window_count
P00024,ananse,AN-C000024,Moderate,0.760603,0.882209,0.996363,0.715386,0.988313,ACTIVE,,,,2
P00025,ananse,AN-C000025,Low,1.118348,1.101177,0.889224,0.484053,0.981977,ACTIVE,,,,0
P00026,ananse,AN-C000026,Very High,0.987926,1.172491,0.896819,0.15459,0.866888,ACTIVE,,,,1
P00027,ananse,AN-C000027,Very High,0.994643,0.816359,1.15906,0.798448,0.898035,ACTIVE,,,,0
P00028,ananse,AN-C000028,Very High,1.590087,1.09994,1.115358,0.90057,0.796515,ACTIVE,,,,1
P00029,ananse,AN-C000029,Low,1.05376,0.838175,1.175545,0.755566,0.872065,ACTIVE,S02,Low,Contextual,0
P00030,ananse,AN-C000030,Moderate,0.786251,0.793834,1.000573,0.957211,0.805553,ACTIVE,,,,0
P00031,ananse,AN-C000031,Moderate,1.726698,1.014914,0.833697,0.584541,0.824262,ACTIVE,,,,1
P00032,ananse,AN-C000032,Moderate,1.046557,1.015281,1.142924,0.950212,0.755463,INACTIVE,,,,0
P00033,ananse,AN-C000033,Very Low,0.633121,0.954316,0.908699,0.837418,0.785347,ACTIVE,,,,2
P00034,ananse,AN-C000034,Moderate,0.925378,0.813738,0.995081,0.044697,0.8482,ACTIVE,,,,1
P00035,ananse,AN-C000035,Very High,0.605266,1.148084,1.074876,0.956767,0.821069,ACTIVE,,,,2
P00036,ananse,AN-C000036,Low,0.932875,0.949088,1.186068,0.509767,0.934685,ACTIVE,,,,1
P00037,ananse,AN-C000037,High,1.263819,0.764668,1.103384,0.43704,0.86958,ACTIVE,,,,0
P00038,ananse,AN-C000038,Low,0.852091,1.060418,1.074784,0.964184,0.824311,REDUCED_ACTIVITY,,,,0
P00039,ananse,AN-C000039,Moderate,1.007635,1.176739,1.01747,0.340607,0.764073,RAMP_UP,,,,0
P00040,ananse,AN-C000040,Low,1.197533,0.800182,0.911979,0.769396,0.952763,ACTIVE,,,,0
P00041,ananse,AN-C000041,Moderate,0.583318,0.907447,1.085766,0.194955,0.779968,ACTIVE,,,,0
P00042,ananse,AN-C000042,High,0.922478,0.798932,1.097812,0.6153,0.982434,ACTIVE,,,,0
P00043,ananse,AN-C000043,Moderate,0.735184,1.118148,1.162631,0.260527,0.919623,REDUCED_ACTIVITY,,,,1
P00044,ananse,AN-C000044,Very High,1.105326,1.033857,1.175437,0.796131,0.981249,ACTIVE,,,,1
P00045,ananse,AN-C000045,Low,0.892841,0.797489,1.129148,0.863151,0.761533,ACTIVE,,,,0
P00046,ananse,AN-C000046,High,1.034864,0.826325,1.015025,0.868425,0.995831,ACTIVE,,,,1
P00047,ananse,AN-C000047,Moderate,1.209764,0.788437,0.990388,0.838984,0.873546,ACTIVE,,,,0
P00048,ananse,AN-C000048,Moderate,1.041196,0.788889,1.187328,0.322708,0.956142,ACTIVE,,,,1
P00049,ananse,AN-C000049,Low,0.787741,1.097851,0.813945,0.364554,0.780647,ACTIVE,,,,0
P00050,ananse,AN-C000050,Moderate,1.074114,0.980243,0.988491,0.781529,0.984799,ACTIVE,,,,0
P00051,ananse,AN-C000051,Very Low,0.826098,0.816273,0.932192,0.568276,0.923792,ACTIVE,,,,1
P00052,ananse,AN-C000052,Very Low,1.164991,0.993857,0.948804,0.159277,0.763274,ACTIVE,S05,Low,Contextual,1
P00053,ananse,AN-C000053,Low,1.057982,0.84664,0.927597,0.392336,0.90313,ACTIVE,,,,1
P00054,ananse,AN-C000054,High,0.653741,0.988801,0.997563,0.421119,0.787725,ACTIVE,,,,0
P00055,ananse,AN-C000055,Moderate,0.988028,0.849159,0.850245,0.382128,0.938691,REDUCED_ACTIVITY,,,,0
P00056,ananse,AN-C000056,Low,1.264557,1.087608,1.039975,0.088424,0.800196,RAMP_UP,,,,2
P00057,ananse,AN-C000057,Moderate,0.965276,0.858074,1.199713,0.415749,0.888111,ACTIVE,,,,1
P00058,ananse,AN-C000058,High,1.940151,1.140567,0.857241,0.183821,0.950076,RAMP_UP,,,,0
P00059,ananse,AN-C000059,Moderate,1.188967,0.89125,0.838531,0.547826,0.816571,ACTIVE,,,,2
P00060,ananse,AN-C000060,Very Low,0.607437,1.178681,1.067596,0.328729,0.877261,ACTIVE,,,,1
P00061,ananse,AN-C000061,Moderate,1.098125,0.88279,1.189204,0.800881,0.913559,ACTIVE,,,,2
P00062,ananse,AN-C000062,Moderate,1.071456,1.109967,0.994785,0.069406,0.8976,ACTIVE,,,,1
P00063,ananse,AN-C000063,Low,1.233478,1.149892,0.805175,0.796944,0.989813,REDUCED_ACTIVITY,,,,1
P00064,ananse,AN-C000064,Low,1.185285,0.917797,0.936106,0.086329,0.859306,ACTIVE,,,,1
P00065,ananse,AN-C000065,Moderate,1.17938,0.907228,0.909501,0.679089,0.913578,ACTIVE,,,,1
P00066,ananse,AN-C000066,Very Low,0.669503,0.930494,0.858956,0.024424,0.97834,INACTIVE,,,,0
P00067,ananse,AN-C000067,Moderate,0.734602,0.962879,0.955316,0.94698,0.932234,ACTIVE,,,,1
P00068,ananse,AN-C000068,Moderate,0.79979,1.239698,1.049784,0.962537,0.898846,REDUCED_ACTIVITY,,,,1
P00069,ananse,AN-C000069,Low,0.648617,1.162464,0.897546,0.442485,0.781424,REDUCED_ACTIVITY,,,,3
P00070,ananse,AN-C000070,Moderate,1.268864,1.093955,1.191079,0.580504,0.87554,REDUCED_ACTIVITY,,,,0
P00071,ananse,AN-C000071,Low,1.043483,0.97327,0.860319,0.128474,0.815441,ACTIVE,,,,1
P00072,ananse,AN-C000072,High,1.931749,1.079181,0.88962,0.923128,0.849157,ACTIVE,,,,0
P00073,ananse,AN-C000073,High,0.800959,1.073947,1.165223,0.533808,0.824333,ACTIVE,,,,0
P00074,ananse,AN-C000074,Moderate,1.261711,1.178875,1.167662,0.41136,0.806421,ACTIVE,,,,0
P00075,ananse,AN-C000075,Low,0.917761,1.223385,0.990541,0.732071,0.935419,INACTIVE,,,,2
P00076,ananse,AN-C000076,Moderate,0.830376,0.769281,1.036939,0.635122,0.81016,ACTIVE,,,,1
P00077,ananse,AN-C000077,High,0.683719,0.984636,0.953264,0.034586,0.883565,ACTIVE,,,,0
P00078,ananse,AN-C000078,Moderate,0.900038,0.873054,0.806875,0.176566,0.962194,ACTIVE,,,,1
P00079,ananse,AN-C000079,Low,1.022437,1.128089,1.100463,0.512336,0.761322,ACTIVE,,,,0
P00080,ananse,AN-C000080,Low,1.107271,1.140769,0.846856,0.169712,0.98484,REDUCED_ACTIVITY,,,,0
P00081,ananse,AN-C000081,Low,1.055554,0.929155,1.116594,0.93075,0.918473,RAMP_UP,,,,0
P00082,ananse,AN-C000082,Moderate,0.739097,1.096957,0.947211,0.751425,0.953922,ACTIVE,,,,0
P00083,ananse,AN-C000083,Moderate,1.004254,0.912197,1.00213,0.842537,0.988282,ACTIVE,,,,0
P00084,ananse,AN-C000084,High,1.334184,0.878032,1.131999,0.423254,0.797918,ACTIVE,,,,0
P00085,ananse,AN-C000085,Moderate,0.653343,1.129998,1.18628,0.431137,0.761571,ACTIVE,,,,0
P00086,ananse,AN-C000086,Low,1.114272,1.097535,1.089654,0.628473,0.98378,ACTIVE,,,,1
P00087,ananse,AN-C000087,Very Low,1.283646,0.878924,0.935587,0.771593,0.854937,REDUCED_ACTIVITY,,,,0
P00088,ananse,AN-C000088,Moderate,1.285683,1.212292,1.089673,0.414036,0.959872,ACTIVE,,,,1
P00089,ananse,AN-C000089,Low,0.924205,1.211735,0.824641,0.782456,0.926011,ACTIVE,,,,2
P00090,ananse,AN-C000090,Low,1.783379,0.893189,0.855298,0.458232,0.899311,ACTIVE,S11,Medium,Contextual,1
P00091,ananse,AN-C000091,High,1.947297,1.049838,1.135327,0.504122,0.75544,ACTIVE,,,,0
P00092,ananse,AN-C000092,Low,0.887873,1.10465,1.099017,0.201602,0.873435,ACTIVE,,,,0
P00093,ananse,AN-C000093,Very Low,0.648478,1.183435,0.844132,0.580008,0.783621,ACTIVE,,,,0
P00094,ananse,AN-C000094,Moderate,1.055941,0.890662,1.159765,0.730958,0.840811,ACTIVE,,,,1
P00095,ananse,AN-C000095,Moderate,0.659742,1.249261,0.910072,0.459997,0.973029,ACTIVE,,,,1
P00096,ananse,AN-C000096,Low,1.048403,1.193056,0.97746,0.62357,0.93674,ACTIVE,,,,1
P00097,ananse,AN-C000097,Very High,0.915145,1.035278,1.163546,0.050716,0.751637,ACTIVE,,,,0
P00098,ananse,AN-C000098,High,0.846863,1.066568,0.835193,0.521853,0.933217,INACTIVE,,,,0
P00099,ananse,AN-C000099,Low,1.708662,0.886262,1.188396,0.99833,0.996979,ACTIVE,,,,2
P00100,ananse,AN-C000100,Low,1.272782,1.07327,0.834295,0.41446,0.80548,RAMP_UP,,,,0
P00101,ananse,AN-C000101,Low,1.064006,1.233994,1.084779,0.80574,0.934121,ACTIVE,,,,0
P00102,ananse,AN-C000102,Very Low,1.032667,0.799669,1.147293,0.026077,0.932911,ACTIVE,,,,1
P00103,ananse,AN-C000103,High,1.127673,0.846265,1.178728,0.72247,0.914767,REDUCED_ACTIVITY,,,,1
P00104,ananse,AN-C000104,Very High,1.444923,0.792776,1.12826,0.792882,0.798343,ACTIVE,,,,0
P00105,ananse,AN-C000105,Moderate,0.878966,0.96417,0.871212,0.54339,0.923504,RAMP_UP,,,,0
P00106,ananse,AN-C000106,Moderate,0.947982,0.992886,1.006347,0.317433,0.941096,RAMP_UP,,,,0
P00107,ananse,AN-C000107,Moderate,1.527125,1.025501,0.876769,0.425163,0.949844,RAMP_UP,,,,0
P00108,ananse,AN-C000108,Moderate,1.01045,0.904288,1.021418,0.331602,0.848271,ACTIVE,,,,0
P00109,ananse,AN-C000109,Very Low,1.042986,1.041459,0.812338,0.192109,0.954643,INACTIVE,,,,1
P00110,ananse,AN-C000110,Moderate,1.188544,1.142535,0.868837,0.377545,0.845113,ACTIVE,S04,Medium,Contextual,0
P00111,ananse,AN-C000111,Low,1.375939,0.931663,0.835191,0.747568,0.880813,ACTIVE,,,,0
P00112,ananse,AN-C000112,Moderate,1.019691,1.107034,1.196405,0.199211,0.992266,REDUCED_ACTIVITY,,,,0
P00113,ananse,AN-C000113,High,0.832276,1.080872,0.815192,0.471475,0.896513,ACTIVE,,,,0
P00114,ananse,AN-C000114,High,1.069682,0.80116,0.800417,0.075176,0.786376,REDUCED_ACTIVITY,,,,1
P00115,ananse,AN-C000115,Moderate,0.948289,1.086678,0.94103,0.201604,0.91977,INACTIVE,S08,Low,Contextual,1
P00116,ananse,AN-C000116,Low,1.23351,1.054743,0.821769,0.058431,0.826842,INACTIVE,,,,0
P00117,ananse,AN-C000117,Moderate,1.951265,1.036894,1.022149,0.781374,0.951705,ACTIVE,,,,0
P00118,ananse,AN-C000118,Moderate,1.148742,1.005228,1.140998,0.344213,0.803105,ACTIVE,,,,0
P00119,ananse,AN-C000119,Moderate,1.602098,1.077073,0.869441,0.282411,0.964819,ACTIVE,,,,0
P00120,ananse,AN-C000120,Low,1.254299,1.215284,1.17899,0.259511,0.867308,REDUCED_ACTIVITY,,,,0
P00121,ananse,AN-C000121,Moderate,1.044838,1.236415,0.958357,0.606643,0.897057,ACTIVE,,,,0
P00122,ananse,AN-C000122,Very Low,0.932638,0.941034,0.978386,0.721342,0.997922,ACTIVE,,,,0
P00123,ananse,AN-C000123,Very Low,0.918648,1.182774,0.898675,0.110024,0.876186,ACTIVE,,,,0
P00124,ananse,AN-C000124,Very Low,1.138523,0.946645,1.139829,0.479224,0.938757,INACTIVE,,,,0
P00125,ananse,AN-C000125,Moderate,1.392974,0.956821,1.039028,0.737976,0.96243,ACTIVE,,,,0
P00126,ananse,AN-C000126,Very High,0.720306,1.147146,0.891997,0.732511,0.842277,ACTIVE,,,,0
P00127,ananse,AN-C000127,Moderate,1.071087,0.813044,0.995295,0.985174,0.92292,ACTIVE,,,,1
P00128,ananse,AN-C000128,Moderate,0.946406,0.931382,0.892321,0.145841,0.985247,ACTIVE,,,,0
P00129,ananse,AN-C000129,High,0.805158,1.065656,1.102612,0.694319,0.953834,REDUCED_ACTIVITY,,,,0
P00130,ananse,AN-C000130,High,1.808361,0.956286,1.169611,0.639685,0.983082,ACTIVE,,,,0
P00131,ananse,AN-C000131,Moderate,1.073835,0.887113,1.047532,0.753487,0.933874,RAMP_UP,,,,1
P00132,ananse,AN-C000132,High,1.331524,1.01972,0.885531,0.982274,0.934231,ACTIVE,,,,0
P00133,ananse,AN-C000133,Moderate,0.937666,0.787968,0.807514,0.623924,0.754543,ACTIVE,,,,0
P00134,ananse,AN-C000134,Moderate,1.019896,0.93695,0.882798,0.260625,0.877049,ACTIVE,S11,Low,Cross-institution,1
P00135,ananse,AN-C000135,Very Low,0.896074,1.054683,0.874909,0.917668,0.792075,ACTIVE,,,,0
P00136,ananse,AN-C000136,Moderate,1.753822,0.833914,0.908134,0.790443,0.970018,INACTIVE,,,,1
P00137,ananse,AN-C000137,Low,1.216794,1.142514,1.164668,0.437646,0.964799,ACTIVE,,,,0
P00138,ananse,AN-C000138,Moderate,0.798666,1.120909,0.989386,0.68677,0.938977,ACTIVE,,,,1
P00139,ananse,AN-C000139,Moderate,1.508629,0.837002,0.854672,0.423437,0.955151,INACTIVE,,,,0
P00140,ananse,AN-C000140,Low,1.321192,1.174604,0.99051,0.816522,0.884212,ACTIVE,,,,1
P00141,ananse,AN-C000141,Low,1.372047,1.204258,1.017409,0.915194,0.850201,INACTIVE,,,,0
P00142,ananse,AN-C000142,Moderate,1.13758,1.029416,0.956113,0.359486,0.904223,ACTIVE,,,,0
P00143,ananse,AN-C000143,Very Low,1.046161,1.142078,1.184848,0.37185,0.991517,ACTIVE,,,,0
P00144,ananse,AN-C000144,Low,1.043215,1.09293,0.916701,0.577006,0.911939,RAMP_UP,,,,0
P00145,ananse,AN-C000145,Low,0.999691,1.091245,1.090498,0.140037,0.868523,ACTIVE,,,,2
P00146,ananse,AN-C000146,High,0.985494,1.141304,1.087094,0.27674,0.957845,ACTIVE,S02,Low,Multi-event,0
P00147,ananse,AN-C000147,High,0.896932,1.235113,1.149493,0.950109,0.793418,ACTIVE,,,,4
P00148,ananse,AN-C000148,Low,1.226777,0.994458,1.13826,0.073596,0.845374,ACTIVE,,,,1
P00149,ananse,AN-C000149,Moderate,0.496028,1.048896,0.887474,0.02082,0.958121,INACTIVE,,,,1
P00150,ananse,AN-C000150,High,0.699524,0.988647,1.042639,0.563738,0.759774,RAMP_UP,,,,0
P00151,ananse,AN-C000151,Moderate,1.063843,1.135436,1.185643,0.964365,0.828175,REDUCED_ACTIVITY,,,,0
P00152,ananse,AN-C000152,Low,0.921415,1.011053,1.187143,0.725599,0.940427,ACTIVE,,,,1
P00153,ananse,AN-C000153,Very High,0.833806,0.787492,1.120165,0.123148,0.986641,ACTIVE,,,,0
P00154,ananse,AN-C000154,Moderate,0.979504,0.815437,0.938139,0.745487,0.828228,ACTIVE,,,,2
P00155,ananse,AN-C000155,Moderate,0.826018,1.033592,1.101328,0.891378,0.837686,INACTIVE,,,,2
P00156,ananse,AN-C000156,Low,0.95043,0.870082,0.821655,0.189739,0.92958,ACTIVE,,,,0
P00157,ananse,AN-C000157,Moderate,1.632594,1.212361,1.17548,0.132176,0.865328,REDUCED_ACTIVITY,,,,1
P00158,ananse,AN-C000158,Moderate,0.985576,0.950292,1.081053,0.602488,0.771249,REDUCED_ACTIVITY,,,,1
P00159,ananse,AN-C000159,Very Low,0.63173,0.787559,0.916895,0.660145,0.756122,INACTIVE,,,,0
P00160,ananse,AN-C000160,Low,0.764639,1.177878,0.939043,0.089034,0.994849,ACTIVE,,,,2
P00161,ananse,AN-C000161,Low,1.463298,0.907992,1.123365,0.999185,0.957294,ACTIVE,S11,High,Ambiguous,1
P00162,ananse,AN-C000162,Very Low,0.88514,0.887747,1.06068,0.076967,0.884875,ACTIVE,,,,1
P00163,ananse,AN-C000163,Low,1.707388,0.94112,1.089948,0.678311,0.789765,ACTIVE,,,,2
P00164,ananse,AN-C000164,Low,0.769121,0.798523,1.152075,0.295541,0.769798,ACTIVE,S05,High,Contextual,0
P00165,ananse,AN-C000165,Moderate,0.938654,1.079196,1.116758,0.134722,0.852727,INACTIVE,S10,Low,Contextual,2
P00166,ananse,AN-C000166,Moderate,1.12294,1.203272,1.005302,0.942442,0.760696,ACTIVE,,,,0
P00167,ananse,AN-C000167,Low,0.884669,1.015725,1.069721,0.773579,0.929466,REDUCED_ACTIVITY,,,,1
P00168,ananse,AN-C000168,Moderate,0.882555,0.962772,0.877626,0.525732,0.783195,INACTIVE,,,,0
P00169,ananse,AN-C000169,Very High,1.017969,1.043559,1.0701,0.011064,0.931641,RAMP_UP,,,,2
P00170,ananse,AN-C000170,Moderate,1.061827,1.105257,0.866514,0.032607,0.894568,ACTIVE,,,,0
P00171,ananse,AN-C000171,Moderate,1.584421,0.956802,1.008281,0.355548,0.842912,ACTIVE,,,,0
P00172,ananse,AN-C000172,Moderate,0.980891,1.076641,0.938279,0.816813,0.892916,ACTIVE,,,,0
P00173,ananse,AN-C000173,Moderate,1.275989,0.768818,0.833128,0.860981,0.990712,REDUCED_ACTIVITY,,,,0
P00174,ananse,AN-C000174,Moderate,0.929266,0.832357,0.889616,0.927648,0.869681,ACTIVE,,,,1
P00175,ananse,AN-C000175,Low,0.830411,1.201295,1.146806,0.173025,0.939494,ACTIVE,,,,0
P00176,ananse,AN-C000176,High,1.097815,1.233032,1.117694,0.168335,0.857658,ACTIVE,,,,0
P00177,ananse,AN-C000177,High,1.263328,0.914267,1.021942,0.209746,0.925792,ACTIVE,,,,1
P00178,ananse,AN-C000178,Low,1.161277,0.875625,0.975012,0.00105,0.795305,ACTIVE,,,,0
P00179,ananse,AN-C000179,Moderate,1.248154,1.103251,1.145783,0.725562,0.946627,INACTIVE,,,,0
P00180,ananse,AN-C000180,Moderate,0.834262,1.005586,1.046288,0.179339,0.993578,ACTIVE,,,,0
P00181,ananse,AN-C000181,Moderate,1.122853,1.024696,1.096694,0.717213,0.793067,ACTIVE,,,,1
P00182,ananse,AN-C000182,Moderate,1.396223,1.024269,1.037287,0.132921,0.863547,ACTIVE,,,,0
P00183,ananse,AN-C000183,Low,0.785892,0.97465,0.98746,0.572391,0.799626,ACTIVE,,,,0
P00184,ananse,AN-C000184,Low,1.968295,1.090088,0.923289,0.012047,0.856037,ACTIVE,,,,0
P00185,ananse,AN-C000185,Moderate,0.731074,1.120581,0.864585,0.867254,0.917367,ACTIVE,,,,1
P00186,ananse,AN-C000186,Moderate,0.941791,1.090303,1.095477,0.914767,0.844944,ACTIVE,,,,0
P00187,ananse,AN-C000187,High,0.706237,0.88295,0.861809,0.372523,0.819322,ACTIVE,,,,0
P00188,ananse,AN-C000188,Very Low,1.311344,1.145384,0.961882,0.528991,0.950257,REDUCED_ACTIVITY,,,,0
P00189,ananse,AN-C000189,Low,0.789739,1.073157,0.912015,0.380319,0.790397,ACTIVE,,,,1
P00190,ananse,AN-C000190,Moderate,1.510622,0.903965,1.061305,0.620735,0.921579,REDUCED_ACTIVITY,,,,2
P00191,ananse,AN-C000191,Low,1.296662,1.089344,1.09381,0.544176,0.984211,ACTIVE,,,,0
P00192,ananse,AN-C000192,High,0.672573,1.167056,0.904653,0.364132,0.831053,INACTIVE,,,,1
P00193,ananse,AN-C000193,Low,1.145496,0.785633,1.188933,0.292675,0.883042,ACTIVE,,,,0
P00194,ananse,AN-C000194,Moderate,1.091978,1.245961,0.943229,0.372076,0.854421,ACTIVE,,,,0
P00195,ananse,AN-C000195,Moderate,0.873796,1.052457,0.887142,0.836336,0.85048,ACTIVE,,,,2
P00196,ananse,AN-C000196,Moderate,0.808012,0.958452,1.150332,0.659256,0.754206,ACTIVE,,,,0
P00197,ananse,AN-C000197,Very Low,0.787521,1.012479,0.996522,0.858592,0.767538,ACTIVE,,,,0
P00198,ananse,AN-C000198,High,1.195843,0.834301,0.894675,0.904367,0.870766,ACTIVE,,,,3
P00199,ananse,AN-C000199,Very High,1.19886,0.794639,0.923385,0.81926,0.916757,ACTIVE,,,,1
P00200,ananse,AN-C000200,Very Low,0.793993,1.182317,1.075882,0.123175,0.830544,INACTIVE,,,,1
P00201,ananse,AN-C000201,Low,1.196835,0.760013,1.052907,0.882339,0.798523,ACTIVE,,,,1
P00202,ananse,AN-C000202,Moderate,0.855396,1.22696,0.988527,0.684044,0.971345,ACTIVE,,,,1
P00203,ananse,AN-C000203,Low,0.870662,0.8136,0.959456,0.342277,0.989778,REDUCED_ACTIVITY,S10,Medium,Detectable,0
P00204,ananse,AN-C000204,High,1.09315,0.927579,1.061493,0.800079,0.958819,ACTIVE,S01,Medium,Multi-event,0
P00205,ananse,AN-C000205,Low,1.381574,0.917962,1.127098,0.049671,0.851004,ACTIVE,,,,0
P00206,ananse,AN-C000206,Low,0.538969,1.071116,1.107362,0.078374,0.882538,ACTIVE,,,,0
P00207,ananse,AN-C000207,Low,0.86652,1.022443,0.869853,0.877475,0.960211,ACTIVE,,,,0
P00208,ananse,AN-C000208,Very High,1.075628,1.117776,1.171287,0.544876,0.798317,RAMP_UP,,,,1
P00209,ananse,AN-C000209,Low,0.562271,0.81577,0.959896,0.451026,0.93761,ACTIVE,,,,1
P00210,ananse,AN-C000210,Moderate,1.351433,0.973445,1.000181,0.027625,0.869093,ACTIVE,,,,0
P00211,ananse,AN-C000211,Moderate,1.017471,0.969734,1.006015,0.552448,0.808459,ACTIVE,,,,1
P00212,ananse,AN-C000212,Very Low,1.461913,0.750594,0.868534,0.138582,0.920987,ACTIVE,,,,1
P00213,ananse,AN-C000213,Moderate,1.05963,0.803241,0.929591,0.754125,0.814123,ACTIVE,,,,0
P00214,ananse,AN-C000214,Moderate,1.027445,1.191066,0.980532,0.233147,0.75522,ACTIVE,,,,1
P00215,ananse,AN-C000215,Low,1.015193,1.013257,1.041807,0.622803,0.971332,ACTIVE,,,,0
P00216,ananse,AN-C000216,High,0.97908,0.904961,0.895013,0.862412,0.879767,ACTIVE,S10,Medium,Contextual,1
P00217,ananse,AN-C000217,Moderate,1.261984,1.240623,0.868711,0.437608,0.799646,ACTIVE,,,,0
P00218,ananse,AN-C000218,Very Low,0.658573,1.109904,0.921093,0.15862,0.96086,ACTIVE,,,,0
P00219,ananse,AN-C000219,Moderate,1.019987,1.093561,0.901626,0.21553,0.848314,ACTIVE,,,,0
P00220,ananse,AN-C000220,Low,1.339514,1.098602,1.119632,0.888207,0.844692,ACTIVE,,,,0
P00221,ananse,AN-C000221,Low,0.953569,0.780791,1.047168,0.592058,0.824648,ACTIVE,,,,1
P00222,ananse,AN-C000222,Low,1.039018,0.97676,1.106947,0.288881,0.858217,ACTIVE,,,,0
P00223,ananse,AN-C000223,Very High,0.905093,0.867418,0.856639,0.349562,0.817439,INACTIVE,,,,0
P00224,ananse,AN-C000224,Moderate,1.055681,0.976238,1.073392,0.897121,0.832156,ACTIVE,,,,1
P00225,ananse,AN-C000225,Very High,1.303938,1.126587,1.136592,0.723689,0.863723,REDUCED_ACTIVITY,,,,0
P00226,ananse,AN-C000226,Low,1.133924,0.802636,1.066451,0.121034,0.813703,ACTIVE,,,,0
P00227,ananse,AN-C000227,Moderate,0.882512,1.200284,0.853507,0.812527,0.782039,ACTIVE,,,,2
P00228,ananse,AN-C000228,Low,0.942054,1.003929,1.103461,0.996043,0.934106,ACTIVE,,,,1
P00229,ananse,AN-C000229,Low,1.035838,0.985961,1.001873,0.583065,0.965626,ACTIVE,,,,0
P00230,ananse,AN-C000230,Low,1.399771,1.203861,1.103941,0.316466,0.891764,RAMP_UP,,,,0
P00231,ananse,AN-C000231,Very Low,0.894533,1.018577,0.983261,0.822228,0.952318,ACTIVE,,,,0
P00232,ananse,AN-C000232,Moderate,0.739157,1.133064,1.185263,0.045443,0.853671,ACTIVE,,,,0
P00233,ananse,AN-C000233,Low,0.716233,0.851684,0.891397,0.918407,0.867732,REDUCED_ACTIVITY,,,,1
P00234,ananse,AN-C000234,Moderate,1.354407,0.865164,0.833809,0.221656,0.953819,REDUCED_ACTIVITY,,,,1
P00235,ananse,AN-C000235,Low,1.387638,1.188519,1.083233,0.607597,0.954622,ACTIVE,,,,0
P00236,ananse,AN-C000236,Moderate,1.063111,0.784411,0.884908,0.016796,0.950789,REDUCED_ACTIVITY,,,,0
P00237,ananse,AN-C000237,High,1.46957,0.979959,0.901817,0.739151,0.93447,ACTIVE,,,,1
P00238,ananse,AN-C000238,Moderate,2.311031,0.780127,1.132923,0.350514,0.815524,RAMP_UP,,,,0
P00239,ananse,AN-C000239,Low,1.545802,0.78864,0.820736,0.817445,0.906372,ACTIVE,,,,0
P00240,ananse,AN-C000240,Moderate,1.537879,1.004282,1.069881,0.182149,0.76942,ACTIVE,,,,1
